Block,Speaker,SpeakerGender,Sentence,NewSentenceID,Word,POS,POS_class,NSyll,NSyllRealized,Vowel,Freq,LogFreq,AccentPosition,AccentType,LastArgument,Focused,MeanPitch,MaxPitch,PitchRangeST,PitchSlopeST,RMS_amplitude,SpectralEmphasis,H1A2,H1A3,SyllableDur,VowelDur,t_dur_norm,mean_norm,min_norm,max_norm,vocDur_norm,sylDur_norm,RMS_norm,range_norm,range_norm3,slope_norm,PScore
1,12,M,1,A1,er,PRO,function,1,1,long,121771,5.085547439,no_accent,no_accent,not_last,no_focus_particle,128,129.696,0.54358258,22.64927415,79,7.94,-0.34,5.35,108,64,0.015614834,0.933768119,0.916894637,0.946140547,0.041639558,0.070266753,1.044628099,0.54358258,0.029245909,34.81193437,0
1,12,M,1,A1,steckt,VV,content,1,1,short,1873,3.272769587,prenuclear,high,not_last,no_focus_particle,162,172.942,2.558693712,-36.55276731,83,8.46,14.56239413,4.817250263,265,61,-0.045543266,1.181800276,1.088284858,1.26162286,0.039687703,0.172413793,1.097520661,2.558693712,0.173338002,-56.18160336,25
1,12,M,1,A1,sich,PRO,function,1,1,short,83233,4.920300766,no_accent,no_accent,not_last,no_focus_particle,150,151.553,0.842775772,-60.19826944,74,3.84,1.237072862,11.70370503,192,39,-0.009108653,1.094259515,1.053056996,1.105588748,0.025374105,0.124918673,0.978512397,0.842775772,0.052531752,-92.52474013,0
1,12,M,1,A1,die,ART,function,1,1,long,326305,5.51362506,no_accent,no_accent,not_last,no_focus_particle,163,171.558,0.996171797,-49.80858983,75,1.79,12.21478227,17.49421112,112,33,-0.013012362,1.189095339,1.181544949,1.251526492,0.021470397,0.072869226,0.991735537,0.996171797,0.069981543,-76.55580256,4
1,12,M,1,A1,banane,NN,content,3,3,long,119,2.079181246,nuclear_IP,falling,last,no_focus_particle,135,193.352,13.31359014,-36.37592934,78,8.16,3.052944333,7.561654332,284,201,-0.23812622,0.984833563,0.653725224,1.410515104,0.130774236,0.184775537,1.031404959,13.31359014,0.75678988,-55.9098034,93
1,12,M,1,A1,ein,PTK,function,1,1,long,185794,5.269034022,no_accent,no_accent,not_last,no_focus_particle,NA,NA,0,0,70,NA,NA,NA,295,119,0,NA,0,0,0.077423552,0.191932336,0.925619835,0,0,0,4
1,6,W,2,B2,die,ART,function,1,1,long,326305,5.51362506,no_accent,no_accent,not_last,no_focus_particle,236,258.696,2.762922821,-43.85591779,80,0.15,18.8360657,29.59881247,106,59,-0.021479714,1.126018665,1.052235815,1.234307308,0.020115922,0.036140471,1.04760034,2.762922821,0.182071493,-128.6294069,0
1,6,W,2,B2,beste,ADJ,content,2,2,short,2921,3.465680212,prenuclear,high,not_last,no_focus_particle,264,297.977,5.175970505,-19.31332278,89,10.87,-8.783783038,4.967347466,219,88,-0.09137402,1.2596141,1.054320858,1.421727389,0.030003409,0.074667576,1.165455379,5.175970505,0.367406531,-56.64597572,14
1,6,W,2,B2,klinik,NN,content,2,2,long,640,2.80685803,no_accent,no_accent,not_last,no_focus_particle,254,273.979,3.726181963,-19.10862545,84,0.29,27.09213978,26.98899737,181,68,-0.066484828,1.211901445,1.054087066,1.307226559,0.023184453,0.061711558,1.099980357,3.726181963,0.253139493,-56.04559844,0
1,6,W,2,B2,der,ART,function,1,1,long,235950,5.372821822,no_accent,no_accent,not_last,no_focus_particle,212,249.192,3.172093281,-44.67737016,80,8.74,15.15194542,6.443423205,135,72,-0.024207296,1.011508292,0.989904002,1.1889612,0.024548244,0.046027958,1.04760034,3.172093281,0.199057198,-131.0387267,0
1,6,W,2,B2,stadt,NN,content,1,1,short,7630,3.882581454,nuclear_IP,rising,not_last,no_focus_particle,327,357.812,1.812901654,34.20569159,84,9.99,-6.394558019,-0.136695361,352,75,0.018070235,1.560203828,1.537483062,1.707216062,0.025571088,0.120013638,1.099980357,1.812901654,0.169733,100.3252934,96
